name,information,address,price,owner,complex_name,house_type,in_pledge,construction_year,ceiling_height,furniture_info,bathroom_info,condition,area,room_count,floor,floor_count,district
"2-комнатная квартира, 63.5 м², 6/9 этаж","жил. комплекс Кристалл 2, кирпичный дом, 2019 г.п., потолки 3м., Уютная и светлая квартира с хорошим ремонтом ✅ Отличная локация✅", Айтеке би 7,32000000,Риелтор,кристалл 2,кирпичный дом,False,2019,3.0,,,,63.5,2,6.0,9.0,Есильский р-н
"3-комнатная квартира, 150 м², 6/11 этаж","жил. комплекс Фортуна, кирпичный дом, 2004 г.п., состояние: хорошее, потолки 3м., санузел 2 с/у и более, телефон: есть возможность подключения, меблирована частично, Очень теплая квартира, на солнечной стороне в ЖК ""Фортуна""(дом кирпичные) на углу Кенесары-Республика. В ЖК имеется семиэ…", Кенесары 47 — Рядом 31 школа,65000000,Хозяин недвижимости,фортуна,кирпичный дом,False,2004,3.0,,2,хорошее,150.0,3,6.0,11.0,Байконур р-н
"2-комнатная квартира, 41.4 м², 3/5 этаж","панельный дом, 1964 г.п., состояние: хорошее, потолки 2.4м., санузел совмещенный, телефон: есть возможность подключения, интернет оптика, меблирована полностью, Двухкомнатная квартира с ремонтом в районе пересечения улиц Жеңіс - Богенбай батыра. Рядом детская площадка, 15 школа-лицей, магазины Smal…", Жеңіс 39,16800000,Хозяин недвижимости,,панельный дом,False,1964,2.4,,совмещенный,хорошее,41.4,2,3.0,5.0,Сарыарка р-н
"2-комнатная квартира, 47.7 м², 5/17 этаж","жил. комплекс Бухар Жырау, монолитный дом, 2023 г.п., состояние: хорошее, потолки 3м., санузел совмещенный, Возможно обмен на квартиру в Астане, Алматы или Актобе. Свяжитесь. Преимущества: 💥Развитая инфраструктура 💥Высота потолков 3 метра 💥Увеличенные окна 2, 1 метра 💥Электронный кодовый зам…", Кабанбай батыра 50 — Бухар Жырау,25500000,Хозяин недвижимости,buqar jyray,монолитный дом,False,2023,3.0,,совмещенный,хорошее,47.7,2,5.0,17.0,Есильский р-н
"3-комнатная квартира, 83 м²","жил. комплекс Highvill Ishim, монолитный дом, 2018 г.п., состояние: хорошее, потолки 3м., Удобное расположение, рядом президентский парк, очень теплая, солнечная и светлая. Умный дом, рядом школа. продается вместе с мебелью. Просьба риэлторы не беспокойте", Нажимеденова 4,76000000,Хозяин недвижимости,highvill ishim,монолитный дом,False,2018,3.0,,,хорошее,83.0,3,,,Алматы р-н
"1-комнатная квартира, 44 м², 8/22 этаж","жил. комплекс Flagman, монолитный дом, 2023 г.п., потолки 3м., санузел совмещенный, телефон: есть возможность подключения, интернет ADSL, Ключи НА РУКАХ!В самом уютном и Великолепном районе Астаны (Набережная) расположился ЖК бизнес-класса Flagman.(застройщик BI group)Дом построен по последн…", Шығанақ — Кенесары,23500000,Хозяин недвижимости,flagman,монолитный дом,False,2023,3.0,,совмещенный,,44.0,1,8.0,22.0,Сарыарка р-н
"3-комнатная квартира, 98 м², 20/22 этаж","жил. комплекс Хайвил Астана, монолитный дом, 2016 г.п., санузел 2 с/у и более, телефон: отдельный, интернет оптика, меблирована частично", Кошкарбаева 10 — Мечеть Хазрет Султана,65000000,Хозяин недвижимости,хайвил астана,монолитный дом,False,2016,,,2,,98.0,3,20.0,22.0,Алматы р-н
"3-комнатная квартира, 103 м², 2/18 этаж","жил. комплекс Жайна, кирпичный дом, 2015 г.п., состояние: хорошее, потолки 2.7м., санузел 2 с/у и более, телефон: отдельный, интернет ADSL, меблирована полностью, Звоните", Кошкарбаева 56,40200000,Хозяин недвижимости,жайна,кирпичный дом,False,2015,2.7,,2,хорошее,103.0,3,2.0,18.0,Алматы р-н
"1-комнатная квартира, 44.3 м², 8/9 этаж","жил. комплекс Жагалау, монолитный дом, 2010 г.п., потолки 2.7м., Продам 1 ком квартиру в ЖК Жагалау. документы в порядке. Ипотеку рассматриваю. Все как на фото. Все в квартире остаётся. Торг. Левый берег Астаны. Сзади ТРЦ Хан Шатыр", Ильяс Омарова 13,20900000,Хозяин недвижимости,жагалау,монолитный дом,False,2010,2.7,,,,44.3,1,8.0,9.0,Нура р-н
"3-комнатная квартира, 104 м², 13/14 этаж","жил. комплекс Триумф Астаны, монолитный дом, 2005 г.п., состояние: среднее, потолки 2.8м., санузел 2 с/у и более, меблирована полностью, 3-комнатная квартира в 3 секции (самая теплая), полностью меблированная, бытовая техника, один хозяин. Требует ремонта. Торг незначительный", Кабанбай батыра 11,48000000,Хозяин недвижимости,триумф астаны,монолитный дом,False,2005,2.8,,2,среднее,104.0,3,13.0,14.0,Нура р-н
"4-комнатная квартира, 158 м², 16/17 этаж","монолитный дом, 2004 г.п., состояние: хорошее, санузел 2 с/у и более, меблирована полностью, Светлая просторная полноценная квартира 3 спальни, кухня 18 кв. м, зал 40 кв. м. Очень удобное месторасположении за гостиницей Rаdisson, набережная в 3х минутах ходьбы, дом расположен не на проезже…", проспект Сарыарка 8/1,57500000,Хозяин недвижимости,,монолитный дом,False,2004,,,2,хорошее,158.0,4,16.0,17.0,Сарыарка р-н
"2-комнатная квартира, 60 м², 5/6 этаж","В залоге, кирпичный дом, 2004 г.п., состояние: хорошее, потолки 2.8м., санузел совмещенный, телефон: есть возможность подключения, интернет оптика, меблирована полностью, Продается 2-х комнатная квартира на пересечении улиц Бараева/Иманбаева, в шаговой доступности школы, детские сады, развит…", Бараева — Бараева/Иманбаева,31000000,Хозяин недвижимости,,кирпичный дом,True,2004,2.8,,совмещенный,хорошее,60.0,2,5.0,6.0,Байконур р-н
"3-комнатная квартира, 70 м², 15/18 этаж","жил. комплекс Мисон, монолитный дом, 2010 г.п., состояние: хорошее, потолки 2.7м., санузел 2 с/у и более, телефон: есть возможность подключения, интернет оптика, меблирована полностью, Продаю полноценную трёхкомнатную квартиру в самом сердце Левого берега с дизайнерским ремонтом. Очень удачн…", Сарайшык 5/1,34000000,Хозяин недвижимости,мисон,монолитный дом,False,2010,2.7,,2,хорошее,70.0,3,15.0,18.0,Есильский р-н
"1-комнатная квартира, 37 м², 7/9 этаж","жил. комплекс Керей, кирпичный дом, 2023 г.п., потолки 2.7м., санузел совмещенный, меблирована полностью, Продам однокомнатную квартиру. Квартира только после ремонта чистая свежая, никто не жил. Все что увидите на фотографиях остается. • находится недалеко от вокзала Нурлы жол, мечеть Хазрет…", Жургенова 19,15500000,Хозяин недвижимости,керей,кирпичный дом,False,2023,2.7,,совмещенный,,37.0,1,7.0,9.0,Алматы р-н
"5-комнатная квартира, 235 м², 9/10 этаж","жил. комплекс Caspian Palace, монолитный дом, 2012 г.п., состояние: хорошее, потолки 3.2м., санузел 2 с/у и более, Продается 5-ти комнатный Пентхаус! 9/10 этаж. Комнаты изолированы, встроенная кухня, тихий двор", Алихана Бокейхана 6,140000000,Хозяин недвижимости,caspian palace,монолитный дом,False,2012,3.2,,2,хорошее,235.0,5,9.0,10.0,Есильский р-н
"1-комнатная квартира, 35 м², 2/3 этаж","панельный дом, 2003 г.п", Молдагуловой 37/1 — Республики,13550000,Риелтор,,панельный дом,False,2003,,,,,35.0,1,2.0,3.0,Сарыарка р-н
"3-комнатная квартира, 86 м², 5/10 этаж","жил. комплекс Brussels, кирпичный дом, 2020 г.п., потолки 3м., санузел раздельный, меблирована полностью, Пластиковые окна, улучшенная, кухня-студия, встроенная кухня, новая сантехника, кладовка, счётчики, тихий двор, кондиционер. ✅Жилой комплекс “Brussels” ✅3-х комнатная квартира студия ✅Площадь…", Мухамедханова 20/2,40499999,Риелтор,brussels,кирпичный дом,False,2020,3.0,,раздельный,,86.0,3,5.0,10.0,Нура р-н
"1-комнатная квартира, 43 м², 10/11 этаж","монолитный дом, 2017 г.п., потолки 2.7м., телефон: отдельный", Айнаколь 54а — Қордай,19800000,Хозяин недвижимости,,монолитный дом,False,2017,2.7,,,,43.0,1,10.0,11.0,Алматы р-н
"3-комнатная квартира, 97 м², 19/19 этаж","жил. комплекс Комфорт De Luxe, монолитный дом, 2019 г.п., состояние: хорошее, потолки 3м., санузел 2 с/у и более, телефон: есть возможность подключения, интернет ADSL, меблирована полностью, Шикарный вид, 2 лоджии, 2 гардеробные, с техникой, мебелью обмен на ЖК Атлант", мкр Шубар Кабанбай-батыра 4/2 — Бизнес центр Presidential Plaza,56000000,Хозяин недвижимости,комфорт de luxe,монолитный дом,False,2019,3.0,,2,хорошее,97.0,3,19.0,19.0,Есильский р-н
"1-комнатная квартира, 35 м², 8/9 этаж","жил. комплекс Бадана, кирпичный дом, 2023 г.п., потолки 2.75м., Продается теплая, новая квартира с евроремонтом! Дом кирпичный, хороший застройщик. Уютный двор с детской игровой площадкой (без машин). Удобное месторасположение, рядом школы, мечеть Хазрет Султан. Документы в порядке, можно в ипот…", Кордай 99,16000000,Хозяин недвижимости,badana,кирпичный дом,False,2023,2.75,,,,35.0,1,8.0,9.0,Алматы р-н
"4-комнатная квартира, 140 м², 5/12 этаж","жил. комплекс Park Avenue, монолитный дом, 2018 г.п., состояние: хорошее, потолки 3м., санузел 2 с/у и более, меблирована частично, 4 комн Квартира Распашонка Зал и кухня солнечные Очень теплая Неугловая ПаРКинг и кладовая 3 квартиры на площадке Потолки 3 м Детский сад в шаговой доступности Мебел…", Туркестан 20/1,122000000,Риелтор,park avenue,монолитный дом,False,2018,3.0,,2,хорошее,140.0,4,5.0,12.0,Есильский р-н
"5-комнатная квартира, 227 м², 9/10 этаж","жил. комплекс Отрада, кирпичный дом, 2008 г.п., состояние: хорошее, потолки 2.9м., санузел 2 с/у и более, Продается двухуровневый пентхаус в кирпичном одноподъездном 10 этажный доме ЖК «отрада». расположен на правом берегу города, в районе Сарыарка, в 15 минутах на машине от центра левого бере…", Бейбитшилик 34/1,54000000,Риелтор,отрада,кирпичный дом,False,2008,2.9,,2,хорошее,227.0,5,9.0,10.0,Сарыарка р-н
"2-комнатная квартира, 50 м², 2/9 этаж","жил. комплекс SHYNGYS, монолитный дом, 2023 г.п., состояние: требует ремонта, потолки 3м., санузел совмещенный, телефон: есть возможность подключения, - ЖК Shyngys; - Застройщик Bastau Build Group; - Дом комфорт класса; - Полноценная евро-двухкомнатная квартира по документам; - документы на ру…", Е-429 ул 6,19999999,Риелтор,shyngys,монолитный дом,False,2023,3.0,,совмещенный,требует ремонта,50.0,2,2.0,9.0,Нура р-н
"1-комнатная квартира, 43 м², 10/10 этаж","жил. комплекс Mechta, кирпичный дом, 2022 г.п., состояние: черновая отделка, потолки 3м., Продается полноценная однокомнатная квартира в самом центре левого берега! ✅Есть возможность переделать в евродвушку, большая лоджия Дом кирпичный Комфорт класса Преимущества квартиры: ✅Центр левого берега!…", Култегин 11a — ЛУЧШАЯ ЦЕНА ЗА М²,17500000,Риелтор,mechta,кирпичный дом,False,2022,3.0,,,черновая отделка,43.0,1,10.0,10.0,Есильский р-н
"1-комнатная квартира, 38 м², 1/9 этаж","жил. комплекс Целиноград − 2, кирпичный дом, 2010 г.п., состояние: хорошее, потолки 2.7м., санузел совмещенный, интернет оптика, меблирована полностью, Продается 1- комнатная квартира. Расположение : Находящем в ЖК Целиноград -2, общей площадью 38 кв. м. Квартира находиться на этаж 1 из 10 в кирпи…", Кумисбекова 9,16999000,Риелтор,целиноград,кирпичный дом,False,2010,2.7,,совмещенный,хорошее,38.0,1,1.0,9.0,Сарыарка р-н
"1-комнатная квартира, 36 м²","жил. комплекс BURABAY, монолитный дом, 2022 г.п., потолки 2.7м., санузел раздельный, интернет ADSL, меблирована полностью, Продается уютная квартира в элитном жилом комплексе рядом с жд вокзалом Нурлы-Жол. Идеальное расположение: торговые центры, детские сады и школы в шаговой доступности…", Ж. Нажимеденова 62 — А62,17500000,Риелтор,burabay,монолитный дом,False,2022,2.7,,раздельный,,36.0,1,,,Алматы р-н
"1-комнатная квартира, 43 м², 11/16 этаж","жил. комплекс Кампус, кирпичный дом, 2014 г.п., состояние: хорошее, потолки 2.7м., санузел совмещенный, телефон: есть возможность подключения, меблирована частично, 📌 ЭКСКЛЮЗИВНОЕ ПРЕДЛОЖЕНИЕ НА ПРАВОМ БЕРЕГУ 📌 🔹Класс жилья: Комфорт 🔹Ул. Жубанова д. 10а 🔹1-ком. квартира 🔹Площадь 43 кв. м 🔹11 этаж…", Жубанова 10а — Иманова,19500000,Риелтор,кампус,кирпичный дом,False,2014,2.7,,совмещенный,хорошее,43.0,1,11.0,16.0,Байконур р-н
"1-комнатная квартира, 35.4 м², 9/9 этаж","В залоге, кирпичный дом, 2012 г.п., состояние: среднее, санузел совмещенный, телефон: есть возможность подключения, интернет через TV кабель, меблирована полностью, ✅ Продаётся 1 комнатная квартира ✅ Пластиковые окна, не угловая, встроенная кухня, счётчики, тихий двор. ✅ Вся мебель и техника…", Бердибек Сокпакпаев,15000000,Риелтор,,кирпичный дом,True,2012,,,совмещенный,среднее,35.4,1,9.0,9.0,Сарыарка р-н
"1-комнатная квартира, 48.93 м², 14/22 этаж","жил. комплекс Four Seasons, монолитный дом, 2023 г.п., потолки 3.1м., интернет оптика, Видовая, неугловая, улучшенная, пластиковые окна, комнаты изолированы, тихий двор. Идеально подходит под евродвушку! Продается по цене застройщика 1-комнатная квартира в ЖК ""Four Seasons"" бизнес-клас…", Туран 39,31800000,Риелтор,four seasons,монолитный дом,False,2023,3.1,,,,48.93,1,14.0,22.0,Есильский р-н
"1-комнатная квартира, 56.9 м², 6/14 этаж","2023 г.п., состояние: черновая отделка, потолки 2.75м., Срочно! Снижение цены 20, 5 млн тг за 57м². Цена актуальна за наличный расчёт, в ипотеку дороже. Самая низкая цена вэтом локации🔥🔥🔥 Квартира отличной планировки большой квадратуры в центре левого берега. Можно сделать большую 1, 5 к кварт…", Е 54 5,20500000,Риелтор,,,False,2023,2.75,,,черновая отделка,56.9,1,6.0,14.0,Нура р-н
"1-комнатная квартира, 35 м², 6/19 этаж","жил. комплекс AMAN, монолитный дом, 2022 г.п., потолки 3м., санузел совмещенный, ТОПОВАЯ ЛОКАЦИЯ ЛЕВОГО берега Полноценная одно комнатная квартира, ремонт сделан как для себя! Никто не жил Пластиковые окна, неугловая, тихий двор. ❇️ Новый район, супер локация! ❇️ Комфорт класс! ❇️ Канал Нура-Есиль…", Мангилик Ел 72/1,20700000,Риелтор,aman,монолитный дом,False,2022,3.0,,совмещенный,,35.0,1,6.0,19.0,Есильский р-н
"1-комнатная квартира, 60.9 м², 11/14 этаж","жил. комплекс Сапа-2007, кирпичный дом, 2013 г.п., состояние: хорошее, жил. площадь 29.2 м², кухня 23 м², потолки 2.7м., санузел совмещенный, интернет через TV кабель, меблирована полностью, 💎💎💎Продаётся 1 комнатная квартира. ✅ЖК Сапа. Застройщик: ROMUL - Кирпичный теплый дом; - ✅Пластиковые окна…", Косшыгулулы 7,23600000,Риелтор,сапа 2007,кирпичный дом,False,2013,2.7,,совмещенный,хорошее,60.9,1,11.0,14.0,Сарыарка р-н
"1-комнатная квартира, 37.85 м², 3/12 этаж","жил. комплекс Гималаи, кирпичный дом, 2024 г.п., потолки 2.7м., Продам 1 комнатную квартиру в ЖК Гималай Дом кирпичный. рядом: школа Binom школа лицей №72, Физико-технический лицей №73 Школа-гимназия №91, Школа гимназия 86 казахско-турецкий лицей NurOrda Школа-лицей №92, детский садик 81, а также…", Нажмиденова 12,16000000,Риелтор,гималай,кирпичный дом,False,2024,2.7,,,,37.85,1,3.0,12.0,Алматы р-н
"1-комнатная квартира, 32.4 м², 8/9 этаж","жил. комплекс Сатурн, кирпичный дом, 2021 г.п., состояние: хорошее, потолки 2.7м., санузел совмещенный, интернет проводной, 🧨 Предлагается вашему вниманию полноценная 1- комнатная квартира в ЖК Сатурн-3, общей площадь - 32, 4 кв. м. с высотой потолков - 2, 70. Квартира не угловая, новая, ухоженная…", Байтурсынова 39/1 — № 23-16,17800000,Риелтор,сатурн,кирпичный дом,False,2021,2.7,,совмещенный,хорошее,32.4,1,8.0,9.0,Алматы р-н
"1-комнатная квартира, 36.7 м², 7/9 этаж","жил. комплекс Аркада, кирпичный дом, 2022 г.п., потолки 3м., санузел совмещенный, без мебели, ✔Продаю 1 комн. кв в ЖК АРКада 4, ✔ общая площадь 36.1 кв. м., кухня 8.9 кв. м, ванна 4.3 кв. м, 7/9этаж, ✔неугловой подъезд, кирпичный дом Очень красивый вид на новую аллею, мечеть. Закрытый двор, отдель…", 22-4 ул 3,18500000,Риелтор,аркада,кирпичный дом,False,2022,3.0,без мебели,совмещенный,,36.7,1,7.0,9.0,Есильский р-н
"1-комнатная квартира, 30 м², 3/5 этаж","кирпичный дом, 1974 г.п., состояние: среднее, жил. площадь 16 м², кухня 6 м², потолки 2м., санузел совмещенный, телефон: отдельный, интернет проводной, меблирована полностью, ✅Продаётся полноценная 1-ком. квартира 🔸Дом кирпичный, очень теплый 🔸Этаж 3й 🔸Подъезд средний на площадке 3 квартиры 🔸про…", Шалкоде 1 — Школа 13,12900000,Риелтор,,кирпичный дом,False,1974,2.0,,совмещенный,среднее,30.0,1,3.0,5.0,Алматы р-н
"2-комнатная квартира, 52.6 м², 3/9 этаж","жил. комплекс МЖК Райымбек, кирпичный дом, 2023 г.п., состояние: хорошее, потолки 3м., санузел совмещенный, меблирована частично, Продается квартира в центре города в Депутатском городке, район Манаса-Тельмано. Тихий и безопасный район. Очень удобная локация, в центре города, но без шума за…", Райымбек батыра 54 — К.Азербаева,34800000,Риелтор,raiymbek,кирпичный дом,False,2023,3.0,,совмещенный,хорошее,52.6,2,3.0,9.0,Алматы р-н
"3-комнатная квартира, 98.89 м², 1/9 этаж","жил. комплекс Урбан, кирпичный дом, 2022 г.п., состояние: черновая отделка, потолки 3м., санузел совмещенный, телефон: есть возможность подключения, интернет ADSL, ЭКСКЛЮЗИВНОЕ ПРЕДЛОЖЕНИЕ 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 ЖК ""Урбан"". расположен на правобережье, район Алматы, в квадрате улиц Калдаякова и улы…", Ш.Калдаякова 40/1 — А30,47000000,Риелтор,урбан,кирпичный дом,False,2022,3.0,,совмещенный,черновая отделка,98.89,3,1.0,9.0,Алматы р-н
"3-комнатная квартира, 98 м², 4 этаж","жил. комплекс Promenade Expo, монолитный дом, 2018 г.п., состояние: хорошее, телефон: нет, меблирована частично, Обмен на салон красоты, аптеку. Ремонт не требуется, первая линия, один паркинг, во дворе школа, рядом магазины, баня, остановка", Мангелик Ел — Ресторан Учкудук,75000000,Хозяин недвижимости,promenade expo,монолитный дом,False,2018,,,,хорошее,98.0,3,,,Нура р-н
"1-комнатная квартира, 42 м², 5/6 этаж","жил. комплекс Comfort Town, кирпичный дом, 2015 г.п., состояние: хорошее, потолки 2.7м., санузел совмещенный, телефон: есть возможность подключения, интернет через TV кабель, меблирована полностью, Торг уместен", Пр. Аль- Фараби 29,24500000,Хозяин недвижимости,comfort town,кирпичный дом,False,2015,2.7,,совмещенный,хорошее,42.0,1,5.0,6.0,Есильский р-н
"1-комнатная квартира, 20.2 м², 8/9 этаж","жил. комплекс Баскару 2,3,4,5, кирпичный дом, 2023 г.п., состояние: черновая отделка, потолки 2.9м., санузел совмещенный, ЖК Феникс, этот же застройщик!Дом кирпичный!Район Есиль, возле нового моста !только наличный расчет!Ключи -2 квартал 2024 г", Калдаяков 26,6400000,Риелтор,баскару 2,кирпичный дом,False,2023,2.9,,совмещенный,черновая отделка,20.2,1,8.0,9.0,Алматы р-н
"1-комнатная квартира, 35.2 м², 2/5 этаж","кирпичный дом, 2019 г.п., состояние: черновая отделка, потолки 2.8м., ✅ Продам полноценную однокомнатную квартиру ✅Самая привлекательная цена на левом берегу ✅мкрн Пригородный ✅Цена за 1м2 260000 ТГ при 100% оплате 🟢ключи в апреле 🟢документы в мае ✅цена с 1 марта будет 300, 000ТГ за м2 Цена е…", мкр Пригородный Е-697 5,9152000,Риелтор,,кирпичный дом,False,2019,2.8,,,черновая отделка,35.2,1,2.0,5.0,Есильский р-н
